start	end	text
0	4320	This massive Flutter course will take you from being an absolute beginner to being able to
4320	9360	release apps on the Google Play Store and the App Store. Vandad is a very experienced
9360	14560	software developer and an excellent teacher. Hello everyone and welcome to this free Flutter
14560	19360	course. My name is Vandad and I'm a Google Developer Expert for Flutter and Dart.
20160	24800	Let's jump right in. Who is this course for? I designed this course mainly for absolute
24800	29440	beginners, so whoever hasn't even done a written a single line of code before.
30160	34080	I actually, when designing this course, I designed it for two specific personas. One was a graphic
34080	38400	designer who was working mainly with Figma. Actually, it doesn't really matter what graphical
38400	44160	tool you're using, Photoshop or Figma or whatever or Sketch. And the other persona was a project
44160	50160	manager who's mainly working with Jira. So I made the assumption that you pretty much don't know
50160	55200	anything about software development from before. And even if you're a software developer, you could
55200	59280	perhaps jump over the things that you might know. But if you haven't done
59280	63280	Flutter development from before, I strongly suggest that you actually follow the chapters
63280	68960	chronologically, which is the way I've designed this course basically. So as I mentioned,
70080	75120	when I designed this course, I wanted everybody to just follow the chapters one at a time and one
75120	80560	after each other chronologically. So I highly recommend that you don't jump over chapters just
80560	85600	because there's so much information provided in each chapter. And I will be referring back to
85600	89920	information that I provided in previous chapters in each chapter. So I think it's very good if you
89920	95120	can just follow the course the way I designed it to be consumed, which is chronologically.
96480	102320	And what you learn in this course is not only the basics, but you'll also go from a complete
102320	108240	beginner to being able to release your applications in Apple's App Store and Google's
108240	113680	Play Store. And we're going to be using a blend of different tools and software. We're going to be
113680	118560	using Visual Studio Code. We're using Firebase for the backend, which I'll teach you all about.
119280	125120	We're using even Figma as a graphic designer to create our icons and screenshots and even our
125520	132480	loading screens. So there's lots to be learned. And I'll take you through those steps. And I don't
132480	137440	make any assumptions about what you may know from before. So I'll explain everything along the way.
137440	143360	So you'll go from absolute beginner to being able to actually release your two applications,
143360	149520	which is the same code base in Apple's App Store and Google's Play Store. If you're attending this
149520	155600	course, please do follow me on social media. And I'd really appreciate it. I'm Van.np on Twitter.
155600	160160	And also you can find me by my full name on LinkedIn. That'd be much appreciated.
160160	166720	This course, of course, for free. But for those who want to and are able to support me,
167360	175280	then you can do that by buying me a cup of coffee on buymeacoffee.com. So without further ado,
175280	183520	let's just jump right into it. Hello, everyone, and welcome to the first chapter of our Flutter
183520	190880	course. There are so many different topics that I could choose for the first chapter.
192240	198720	And they're all very important. However, after going through the material that I've been
198720	204880	preparing for you for this course, I realized that one of the absolute basic points that we
204880	212960	have to go through is the developer accounts for Apple and Google. Now, if you're not familiar
212960	218480	with the term of developer account, there are basically what a developer account allows you to
218480	228320	do is to release your applications on Apple's App Store and Google's Play Store. As I mentioned
228400	236160	in the introduction, you may choose to follow along this course without actually releasing the
236160	245200	application to the App Store and the Play Store. But even if you do decide to not release the
245200	253440	applications on the aforementioned stores, you will still, for the optimal experience of development
253440	262080	for iOS and Android, you will most definitely need a developer account. And the reason behind that
262080	271920	is, I mean, it is quite deep to try to explain the actual reason behind it. But from my perspective,
271920	276480	one of the most important reasons you may want to have a developer account is to create the so-called
277200	286080	app IDs. So every application on iOS and every application on Android has an identifier,
286080	291680	which is usually something called a reverse domain identifier. And it's kind of like,
292800	301600	I still find it strange the way it is, but somewhere, somehow it was decided that every
302240	307040	application needs to have an identifier and every identifier is kind of like associated with a
307040	310800	domain name. And a domain name is kind of like a website. For instance, if you have
312240	320640	yourname.com as your website, then you would say that, okay, I'm going to create an application
320640	327600	for iOS and Android in Flutter, and I'm going to call it foobar. Then it was somehow decided
327600	334240	that your application's identifier would then in that case be, if you reverse it,
334880	344800	then it would literally be your domain in reverse, which would be com.yourname.yourapplicationsname.
346320	353680	I don't really know. I mean, if somebody knows the reason behind it, I would be glad to hear that.
353680	357520	And I'm sure that there's resources out there explaining why that is the case, but it kind of
357520	367680	feels like it's become the norm and we just have to roll with it. So the reason I explained the
367680	375840	app identifier is that when you set up your backend later, when we set up the backend later
375840	382320	together, in that the client that we write in Flutter is going to talk with our backend
382880	388880	store the notes, retrieve the notes, create a user, sign in with a user, et cetera, et cetera,
390880	398960	that backend setup also will require you to have your app identifier. And
401280	407440	even though you don't necessarily need to have a developer account to get an app identifier,
407440	412560	because an app identifier is just something that you decide, okay, here's my app identifier.
412560	417440	I think my website is called this, blah, blah. And even though you actually need a website,
417440	421360	that's the thing, but an app identifier is usually associated with a website. So don't
421360	425840	worry about it. You don't have to have a website in order to follow along with these steps that I'm
425840	432720	going to name here, but it is still good practice to create your developer account in order to
432720	442480	officially register your app identifiers. And another reason that you will need a
442480	452320	developer account for Apple and Google is that you will, for Apple, if you want to be able to
453600	459760	deploy your application onto a telephone and not use a simulator,
460720	467120	then you will need to register a developer account and use some resources that Apple provides you
467120	473760	in forms of certificates and keys and profiles in order to deploy your application to a telephone
473760	481200	or an iPad, for instance. In Android, the world is a little bit different in that you don't have
481200	489360	to do the same process, but in order to then submit your application to Google for review,
490160	494080	later, so that it can be available for everybody who has an Android telephone
495360	500560	or a tablet, you will still need a developer account. So it goes without saying that it is
500560	512480	a very important step that even if you decide not to deploy your application later to App Store and
512480	519200	Play Store, it's still a very fundamental step. So I suggest that you actually go through these
519200	524640	steps that I'm going to provide you in the first chapter. And that's why I actually decided to have
524640	532640	this as chapter one. Sorry, I have to just edit my notes a little bit. If you haven't watched the
532640	536720	introduction to this course, and you're just jumping here, I suggest that you go to the
536720	541200	introduction and watch it. I know it was about 34 minutes. It was quite a long introduction,
541200	547360	but there were so many important points that I feel everybody needs to know before you get
547440	552240	started with the course. So please watch those. If you see me moving my head around, then you know
552240	559520	the reason. And I explain a lot of things that are like the fundamentals of this course and the
559520	565760	reasoning behind all those decisions, which I believe are so important that I still suggest
565760	573200	everybody watched an introduction before they actually start with the course. So we've now
573200	582000	talked about the basics. And if you go to why we need a developer account, I believe I've already
582000	590800	covered this in that the developer account is the utility is an account that you register for Apple
590800	597280	and Google that gives you extra resources as a developer in order to be able to deploy your
597760	601760	test and deploy your applications to the respective app stores.
604560	614720	Now, if we talk about developer accounts, there are two main types of developer accounts. One is
614720	624640	an individual account, and the other one is a company account. And for me, the biggest
624640	631760	difference between these two different accounts is the liability. And by liability, I mean, if you
633840	642400	register an individual account, then you as an individual are liable for that application. And
642400	646720	as users download your application and interact with it, if they have any problems and if, for
646720	655840	instance, there's any judiciary problems, like if someone for some reason believes that you're
655840	660320	storing their data in the wrong way or that you're storing their personal information without
660320	666400	exposing that and telling the users about that, then they can personally hold you liable for,
668560	675040	for instance, breach of information or GDPR infringements or whatever it is. So
676800	684080	just know that you can register yourself as an individual for both Apple's App Store and Google's
684080	690640	Play Store, but you need to also be aware that should you wish to do that, then you're personally
690640	697680	liable for any problems that may be occurring in the future. So that's the personal account
698480	705680	or an individual account. And as a company account, then you kind of like, based on what
705680	716960	type of company you've created, you may or may not be personally liable for any damages that may
716960	721360	be caused to your users and if they bring it up to you. Now, I know this is all sounding a lot
721360	729040	serious. In reality, what we are trying to do is not that big a deal, but we are still trying to
729040	739280	store. I mean, the goal of this course is to go through an application and create an application
739280	747360	that can store users' notes. Notes can be quite personal and you're storing those notes then
748320	754240	on a backend that you have full access to. So you're kind of like storing user-created data.
755040	759600	So it is very important that you actually treat that data correctly. Make sure that nobody
760240	769840	except those who are authorized can access that data. So from a responsibility point of view,
769840	777200	it is actually a little bit different what kind of company account you want to create, if that's
777200	783520	what you want to create now. Because for instance, in Sweden, where I live, you can have a personal
783520	789280	company account in that, sorry, a personal company. So you can register a personal company. It
789280	796880	means that you are personally liable for that company. And you can also create a company that
798400	803760	it has like, it's like an umbrella. Basically, it sits on top and then there are people who are
804400	808480	directors of the company and blah, blah. So you're not personally liable.
809440	816240	And that is the same structure that you can find in many other countries. I believe US, Germany,
816240	825040	Sweden, England, many other countries, you can set up companies that are either sole proprietorship
825040	828960	or something called, English is not my first language, but it's something like that. Or you
828960	833120	can create like a limited company that you have limited liability and you're not personally liable.
833120	838560	So these are the different types of developer accounts that you can set up.
839360	846480	So we can, I mean, that point, I think we all understand now that you can create
846480	855600	individual or a company account. Now, I think, I mean, I personally registered already an account
856240	862240	as an iOS developer and an Android app developer. So,
864400	871280	and since I registered a company account, I can't go through setting up the exact same company again,
871920	879520	but at least I can show you some of the steps involved in creating those accounts.
880480	888960	So what we could do is to, now you can't see the screen right now, but I will bring it up here
890560	899040	so that you can also see. Now I'm going to bring my studio here and I'm going to make this screen
899040	906160	a little bit bigger so that you can see my screen better. So let me also make this a little bit
906480	912960	smaller on top so that you can see the content a little bit better.
914800	920560	So you can see here that there are two options available to you. Either you enroll as an individual
920560	926560	or you enroll as an organization. And it is strongly recommended actually.
929440	933200	So you need to make sure that you have two-factor authentication turned on.
933200	939920	And so that's not a problem. All this means basically as an individual, it means that just
940480	946880	you will need an account. You will need to set up an account. However, if you want to set up as an
946880	952160	organization, like if you have a limited company and you want to create an Apple developer account
952160	959040	that is linked to that organization, it's a little bit different because you will need to set up
959040	963520	something called a duns or duns or I don't know how you want to pronounce it D-U-N-S.
964640	972400	Which is kind of like, it's a new thing for me at least, but it is an identifier for your company
972400	980880	that you either have been assigned to already. I think there is a company called DMB.
980880	988720	So if you go to, let me see if I can bring the notes for that.
990720	1002320	Let's see. Learn more. If you go to learn more here. Here, DMB is called by Don and Bradstreet.
1002320	1011440	So there then we have the ability to register a D-U-N-S number.
1013360	1018800	For me, I was one of the lucky people to have already been assigned a D-U-N-S number for my
1018800	1026720	company by DMB because you either have, let's see if they write it here.
1027680	1031440	You see it says DMB may have already assigned your organization a free
1031440	1036800	D-U-N-S number. Before enrolling, look up your organization to see if you have a D-U-N-S number.
1036800	1044880	So you can just click on the link and we can go here and you can then select your region. For me,
1044880	1051040	it would be Sweden. Then I would write my company name, some address information, contact information,
1051040	1057440	etc. Then you can check whether there is a D-U-N-S number assigned to your company.
1057440	1061200	So I suggest that you actually do this by going to this website.
1066000	1070880	So that's for a D-U-N-S number if you already have one, but if you don't have one,
1070880	1078320	then you will have to create and request a D-U-N-S number from DMB. I would show you the website for
1078320	1085360	DMB and D-U-N-S number right now, but my browser is set up so that my locale is already provided to
1085360	1089280	the browser, which is Swedish. Then if I go to the DMB website, you're going to see everything in
1089280	1096560	Swedish. That doesn't make any sense just to read the information in Swedish. I believe you can go
1096560	1107040	to DMB's website. So if I search for a DMB, D-U-N-S or D-U-N-S are here. So this is a Swedish
1108080	1113600	localized website for DMB. Let's see if it can change the language.
1117520	1121760	Actually, I can see here that they're very, they're actually in Sweden.
1121760	1128960	And I wonder if we can, here, change country. Let's just say
1132880	1133600	international.
1136400	1141200	So if we go here, let's see if we can,
